196
8.150000e+00 1.010000e+11 1.239264e+10 4.910000e+23
1.160000e+01 1.210000e+12 1.572943e+11 6.990000e+23
1.640000e+01 1.400000e+13 1.330057e+12 9.900000e+23
4.510000e+01 1.700000e+14 7.101349e+12 2.720000e+25
2.120000e+02 5.820000e+15 6.225943e+13 1.270000e+26
1.150000e+03 1.900000e+17 3.980570e+14 6.930000e+26
1.315395e+03 4.996169e+17 6.615341e+14 7.924060e+26
4.159646e+03 3.185707e+18 1.722773e+15 2.505808e+27
1.315398e+04 2.031303e+19 3.862611e+15 7.924060e+27
4.159664e+04 1.295219e+20 8.177285e+15 2.505808e+28
1.315409e+05 8.258708e+20 1.687717e+16 7.924060e+28
4.159737e+05 5.266000e+21 3.441901e+16 2.505808e+29
1.044863e+06 2.318000e+22 6.023834e+16 6.294102e+29
2.624725e+06 9.755000e+22 1.028824e+17 1.581048e+30
6.593424e+06 3.911000e+23 1.698663e+17 3.971469e+30
8.300093e+06 5.259000e+23 1.880304e+17 4.999380e+30
1.659000e+08 3.301000e+25 1.989312e+17 1.000000e+32
2.157000e+08 4.696000e+25 2.723080e+17 1.300000e+32
2.804000e+08 6.671000e+25 3.522124e+17 1.690000e+32
3.646000e+08 9.463000e+25 4.390906e+17 2.198000e+32
4.741000e+08 1.341000e+26 5.335445e+17 2.857000e+32
6.164000e+08 1.897000e+26 6.358713e+17 3.714000e+32
8.015000e+08 2.680000e+26 7.467086e+17 4.829000e+32
1.042000e+09 3.782000e+26 8.666885e+17 6.278000e+32
1.355000e+09 5.331000e+26 9.963996e+17 8.163000e+32
1.762000e+09 7.506000e+26 1.136465e+18 1.061000e+33
2.291000e+09 1.055000e+27 1.287243e+18 1.380000e+33
2.979000e+09 1.482000e+27 1.449904e+18 1.794000e+33
3.873000e+09 2.079000e+27 1.624798e+18 2.332000e+33
5.037000e+09 2.912000e+27 1.812437e+18 3.032000e+33
6.549000e+09 4.073000e+27 2.013560e+18 3.942000e+33
8.516000e+09 5.688000e+27 2.228712e+18 5.125000e+33
1.107000e+10 7.932000e+27 2.458625e+18 6.663000e+33
